15	THE PRELUDE
preface.1.1	<xref n="Mohl preface.1.1"/>In the Name of God the Merciful, the Pitiful
preface.1.2	<xref n="Mohl preface.1.2"/>Discourse in Praise of Wisdom
preface.1.3	<xref n="Mohl preface.1.3"/>Of the Making of the World
preface.1.4	<xref n="Mohl preface.1.4"/>Of the Nature of Man
preface.1.5	<xref n="Mohl preface.1.5"/>Of the Nature of the Sun
preface.1.6	<xref n="Mohl preface.1.6"/>Of the Nature of the Moon
preface.1.7	<xref n="Mohl preface.1.7"/>The Praise of <persName n="Mohammed">the Prophet</persName> and his Companions
preface.1.8	<xref n="Mohl preface.1.8"/>On the Compilation of the <persName><rs type="title">Shahnama</rs></persName>
preface.1.9	<xref n="Mohl preface.1.9"/>Of the poet <persName>Dakiki</persName>
preface.1.10	<xref n="Mohl preface.1.10"/>How the present Book was begun
preface.1.11	<xref n="Mohl preface.1.11"/>In Praise of Abu Mansur, Son of <persName>Muhammad</persName>
preface.1.12	<xref n="Mohl preface.1.12"/>The Praise of Sultan Mahmud
1.1.1	The Greatness of <persName>Gaiumart</persName> and the Envy of <rs type="divinity">Ahriman</rs>
1.1.2	<xref n="Mohl 1.1.1"/>How <persName>Siyamak</persName> was Slain by the Hand of the <rs type="divinity">Div</rs>
1.1.3	<xref n="Mohl 1.1.2"/>How <persName>Hushang</persName> and  <persName>Gaiumart</persName> went to Fight <rs type="divinity">the Black Div</rs>
2.1.1	The Accession of <persName>Hushang</persName> and his civilising Arts
2.1.2	<xref n="Mohl 2.1.1"/>How the Feast of Sada was Founded
3.1.1	<persName>Tahmuras</persName> ascends the Throne, invents new Arts, subdues the Divs, and dies
4.1.1	The Greatness and Fall of Jamshid
4.1.2	<xref n="Mohl 4.1.1"/>The Story of Zahhadk and his Father
4.1.3	<xref n="Mohl 4.1.2"/>How <rs type="divinity">Iblis</rs> turned Cook
4.1.4	<xref n="Mohl 4.1.3"/>How the Fortunes of <persName>Jamshid</persName> went to Wrack
5.1.1	The Evil Customs of <persName>Zahhak</persName> and the Device of <persName>Irma'il</persName> and <persName>Karma'il</persName>
5.1.2	<xref n="Mohl 5.1.1"/>How Zuahhék saw <persName>Faridun</persName> in a Dream
5.1.3	<xref n="Mohl 5.1.2"/>The Birth of <persName>Faridun</persName>
5.1.4	<xref n="Mohl 5.1.3"/>How <persName>Faridun</persName> questioned his Mother about his Origin
5.1.5	<xref n="Mohl 5.1.4"/>The Story of <persName>Zahhak</persName> and <persName>Kawa</persName> the Smith
5.1.6	<xref n="Mohl 5.1.5"/>How <persName>Faridun</persName> went to Battle with <persName>Zahhak</persName>
5.1.7	<xref n="Mohl 5.1.6"/>How <persName>Faridun</persName> saw the Sisters of <persName>Jamshid</persName>
5.1.8	<xref n="Mohl 5.1.7"/>The Story of Faridiéin and the Minister of <persName>Zahhak</persName>
5.1.9	<xref n="Mohl 5.1.8"/>How <persName>Faridun</persName> bound <persName>Zahhak</persName>
6.1.1	<xref n="Mohl 6.1.1"/>How <persName>Faridun</persName> ascended the Throne
6.1.2	<xref n="Mohl 6.1.2"/>How <persName>Faridun</persName> sent <persName>Jandal</persName> to <placeName>Yaman</placeName>
6.1.3	<xref n="Mohl 6.1.3"/>How the King of <placeName>Yaman</placeName> answered <persName>Jandal</persName>
6.1.4	<xref n="Mohl 6.1.4"/>How the Sons of <persName>Faridun</persName> went to the King of <placeName>Yaman</placeName>
6.1.5	<xref n="Mohl 6.1.5"/>How <persName>Sarv</persName> proved the Sons of <persName>Faridun</persName> by Sorcery
6.1.6	<xref n="Mohl 6.1.6"/>How <persName>Faridun</persName> made Trial of his Sons
6.1.7	<xref n="Mohl 6.1.7"/>How <persName>Faridun</persName> divided the World among his Sons
6.1.8	<xref n="Mohl 6.1.8"/>How <persName>Salm</persName> grew Envious of Traj
6.1.9	<xref n="Mohl 6.1.9"/>How <persName>Salm</persName> and <persName>Tur</persName> sent a Message to <persName>Faridun</persName>
6.1.10	<xref n="Mohl 6.1.10"/>How <persName>Faridun</persName> made Answer to his Sons
6.1.11	<xref n="Mohl 6.1.11"/>How <persName>Iraj</persName> went to his Brothers
6.1.12	<xref n="Mohl 6.1.12"/>How <persName>Iraj</persName> was Slain by his Brothers
6.1.13	<xref n="Mohl 6.1.13"/>How <persName>Faridun</persName> received Tidings of the Murder of <persName>Iraj</persName>
6.1.14	<xref n="Mohl 6.1.14"/>How a Daughter was Born to <persName>Iraj</persName>
6.1.15	<xref n="Mohl 6.1.15"/>The Birth of Mintichihr
6.1.16	<xref n="Mohl 6.1.16"/>How <persName>Salm</persName> and <persName>Tur</persName> had Tidings of <persName>Minuchihr</persName>
6.1.17	<xref n="Mohl 6.1.17"/>How <persName>Faridun</persName> received his Sons' Message
6.1.18	<xref n="Mohl 6.1.18"/>How <persName>Faridun</persName> made Answer to his Sons
6.1.19	<xref n="Mohl 6.1.19"/>How Faridién sent <persName>Minuchihr</persName> to fight <persName>Tur</persName> and <persName>Salm</persName>
6.1.20	<xref n="Mohl 6.1.20"/>How <persName>Minuchihr</persName> attacked the Host of Tiir
6.1.21	<xref n="Mohl 6.1.21"/>How <persName>Tur</persName> was Slain by the Hand of Menichihr
6.1.22	<xref n="Mohl 6.1.22"/>How <persName>Minuchihr</persName> wrote to Announce his Victory to <persName>Faridun</persName>
6.1.23	<xref n="Mohl 6.1.23"/>How <persName>Karan</persName> took the Castle of the Alans
6.1.24	<xref n="Mohl 6.1.24"/>How <persName>Kakwi</persName>, the Grandson of <persName>Zahhak</persName>, attacked
6.1.25	<xref n="Mohl 6.1.25"/>How <persName>Salm</persName> fled and was Slain by the Hand of <persName>Minuchihr</persName>
6.1.26	<xref n="Mohl 6.1.26"/>How the Head of <persName>Salm</persName> was sent to <persName>Faridun</persName>
6.1.27	<xref n="Mohl 6.1.27"/>The Death of <persName>Faridun</persName>
7.1.1	How <persName>Minuchihr</persName> ascended the Throne and made an Oration
7.1.2	<xref n="Mohl 7.1.1"/>The Birth of <persName>Zal</persName>
7.1.3	<xref n="Mohl 7.1.2"/>How <persName>Sam</persName> had a Dream touching the Case of his Son
7.1.4	<xref n="Mohl 7.1.3"/>How <persName>Minuchihr</persName> took Knowledge of the Case of <persName>Sam</persName> and <persName>Zal</persName>
7.1.5	<xref n="Mohl 7.1.4"/>How <persName>Zal</persName> went back to <placeName>Zabulistan</placeName>
7.1.6	<xref n="Mohl 7.1.5"/>How <persName>Sam</persName> gave the Kingdom to <persName>Zal</persName>
7.1.7	<xref n="Mohl 7.1.6"/>How <persName>Zal</persName> visited <persName>Mihrab</persName> of <placeName>Kabul</placeName>
7.1.8	<xref n="Mohl 7.1.7"/>How <persName>Rudaba</persName> took Counsel with her Damsels
7.1.9	<xref n="Mohl 7.1.8"/>How <persName>Rudaba</persName>'s Damsels went to see Zaél
7.1.10	<xref n="Mohl 7.1.9"/>How the Damsels returned to <persName>Rudaba</persName>
7.1.11	<xref n="Mohl 7.1.10"/>How <persName>Zal</persName> went to <persName>Rudaba</persName>
7.1.12	<xref n="Mohl 7.1.11"/>How <persName>Zal</persName> consulted the Archimages in the Matter
7.1.13	<xref n="Mohl 7.1.12"/>How <persName>Zal</persName> wrote to <persName>Sam</persName> to Explain the Case
7.1.14	<xref n="Mohl 7.1.13"/>How <persName>Sam</persName> consulted the Archmages in the Matter of <persName>Zal</persName>
7.1.15	<xref n="Mohl 7.1.14"/>How <persName>Sindukht</persName> heard of the Case of <persName>Rudaba</persName>
7.1.16	<xref n="Mohl 7.1.15"/>How <persName>Mihrab</persName> was made Aware of his Daughter's Case
7.1.17	<xref n="Mohl 7.1.16"/>How <persName>Minuchihr</persName> heard of the Case of <persName>Zal</persName> and <persName>Rudaba</persName>
7.1.18	<xref n="Mohl 7.1.17"/>How <persName>Sam</persName> came to <persName>Minuchihr</persName>
7.1.19	<xref n="Mohl 7.1.18"/>How <persName>Sam</persName> went to War against <persName>Mihrab</persName>
7.1.20	<xref n="Mohl 7.1.19"/>How <persName>Zal</persName> went on a Mission to <persName>Minuchihr</persName>
7.1.21	<xref n="Mohl 7.1.20"/>How <persName>Mihrab</persName> was Wroth with <persName>Sindukht</persName>
7.1.22	<xref n="Mohl 7.1.21"/>How Sdém comforted <persName>Sindukht</persName>
7.1.23	<xref n="Mohl 7.1.22"/>How <persName>Zal</persName> came to <persName>Minuchihr</persName> with <persName>Sam</persName>'s Letter
7.1.24	<xref n="Mohl 7.1.23"/>How the Archmages questioned <persName>Zal</persName>
7.1.25	<xref n="Mohl 7.1.24"/>How <persName>Zal</persName> answered the Archmages
7.1.26	<xref n="Mohl 7.1.25"/>How <persName>Zal</persName> displayed his Accomplishment before <persName>Minuchihr</persName>
7.1.27	<xref n="Mohl 7.1.26"/><persName>Minuchihr</persName>'s Answer to <persName>Sam</persName>'s Letter
7.1.28	<xref n="Mohl 7.1.27"/>How <persName>Zal</persName> came to <persName>Sam</persName>
