1.1	خجسته	خجسته	ḫuǧistah
1.1	سیامک	سیامک	siyâmak
1.1	یکی	fail	noxlit
1.1	پور	پور	pûr
1.1	داشت	داشت	dâšt
1.2	که	که	kih
1.2	نزد	نزد	nazd
1.2	نیا	نیا	niyâ
1.2	جای	جای	ǧây
1.2	دستور	دستور	dastûr
1.2	داشت	داشت	dâšt
1.3	گرانمایه	گرانمایه	girân-mâyah
1.3	را	را	râ
1.3	نام	نام	nâm
1.3	هوشنگ	هوشنگ	hûšang
1.3	بود	بود	bûd
1.4	تو	تو	tû
1.4	گفتی	fail	noxlit
1.4	همه	همه	hamah
1.4	هوش	هوش	hûš
1.4	و	و	û
1.4	فرهنگ	فرهنگ	farhang
1.4	بود	بود	bûd
1.5	به	به	bih
1.5	نزد	نزد	nazd
1.5	نیا	نیا	niyâ
1.5	یادگار	یادگار	yâd-gâr
1.5	پدر	پدر	padar
1.6	نیا	نیا	niyâ
1.6	پروریده	fail	noxlit
1.6	مر	مر	mar
1.6	او	او	û
1.6	را	را	râ
1.6	به	به	bih
1.6	بر	بر	bar:bur
1.7	نیایش	نیایش	niyâyiš
1.7	به	به	bih
1.7	جای	جای	ǧây
1.7	پسر	پسر	pusar
1.7	داشتی	fail	noxlit
1.8	جز	جز	ǧuz
1.8	او	او	û
1.8	بر	بر	bar:bur
1.8	کسی	fail	noxlit
1.8	چشم	چشم	čašm
1.8	نگماشتی-	fail	noxlit
1.9	چو	چو	čû
1.9	بنهاد	fail	noxlit
1.9	دل	دل	dil
1.9	کینه	کینه	kînah
1.9	و	و	û
1.9	جنگ	جنگ	ǧang
1.9	را	را	râ
1.10	بخواند	fail	noxlit
1.10	آن	آن	ân
1.10	گرانمایه	گرانمایه	girân-mâyah
1.10	هوشنگ	هوشنگ	hûšang
1.10	را	را	râ
1.11	همه	همه	hamah
1.11	رفتنی-ها	fail	noxlit
1.11	بدو	fail	noxlit
1.11	باز	باز	bâz
1.11	گفت	گفت	guft
1.12	همه	همه	hamah
1.12	رازها	fail	noxlit
1.12	برگشاد	fail	noxlit
1.12	از	از	az
1.12	نهفت	نهفت	nuhuft
1.13	که	که	kih
1.13	من	من	man
